Time,Symbol,Direction,Type,Price,Entry,Stop,T1,T2,Confidence,Action,Message
2026-05-04 19:50:01.867467,ETH-USD,BUY,tv_staged_pdh_break,2357.169921875,2357.169921875,2354.929931640625,2361.659912109375,2363.89990234375,medium,took,[TV] staged_pdh_break (5m)
2026-05-04 18:00:10.061455,NVDA,BUY,tv_vwap_reclaim_long,198.30999755859375,198.30999755859375,196.22000122070312,203,205.35000610351562,medium,skipped,[TV] vwap_reclaim_long (30m)
2026-05-04 17:50:11.094311,LITE,BUY,tv_staged_pdh_break,989.489990234375,989.489990234375,977.2899780273438,1013.8800048828125,1026.0799560546875,medium,skipped,[TV] staged_pdh_break (65)
2026-05-04 17:30:03.976691,NVDA,BUY,tv_staged_pdl_reclaim,197.2899932861328,197.2899932861328,196.2100067138672,199.4499969482422,203,medium,skipped,[TV] staged_pdl_reclaim (30m)
2026-05-04 17:00:10.791518,TSLA,BUY,tv_vwap_reclaim_long,389.9100036621094,389.9100036621094,386.260009765625,397.82000732421875,401.7799987792969,medium,took,[TV] vwap_reclaim_long (15m)
2026-05-04 16:45:10.318851,OKLO,SHORT,tv_ma_rejection_short_ema100,70.18000030517578,70.18000030517578,71.26000213623047,68.01000213623047,66.93000030517578,medium,skipped,[TV] ma_rejection_short EMA100 (65)
2026-05-04 16:00:06.810617,GOOGL,BUY,tv_vwap_reclaim_long,383.29998779296875,383.29998779296875,380.510009765625,386.760009765625,388.489990234375,medium,skipped,[TV] vwap_reclaim_long (15m)
2026-05-04 15:45:34.909035,CRWD,SHORT,tv_vwap_reject_short,465.8999938964844,465.8999938964844,471.1000061035156,445.57000732421875,435.3999938964844,medium,skipped,[TV] vwap_reject_short (15m)
2026-05-04 15:40:04.214075,OKLO,SHORT,tv_ma_rejection_short_ema200_sma100,70.2699966430664,70.2699966430664,73.0199966430664,64.7699966430664,62.02000045776367,medium,skipped,[TV] ma_rejection_short EMA200+SMA100 (65)
2026-05-04 15:30:20.882147,NVDA,SHORT,tv_staged_pdl_break,195.7899932861328,195.7899932861328,197.6199951171875,192.1199951171875,190.2899932861328,medium,skipped,[TV] staged_pdl_break (30m)
2026-05-04 15:30:13.725760,ETH-USD,SHORT,tv_vwap_reject_short,2348.52001953125,2348.52001953125,2378.219970703125,2297.590087890625,2272.1298828125,medium,skipped,[TV] vwap_reject_short (15m)
2026-05-04 15:30:07.612718,MU,SHORT,tv_vwap_reject_short,581,581,588.3400268554688,510.2099914550781,474.80999755859375,medium,skipped,[TV] vwap_reject_short (15m)
2026-05-04 15:30:06.427109,MSFT,SHORT,tv_vwap_reject_short,415.8800048828125,415.8800048828125,421.5,410.44000244140625,407.7099914550781,medium,skipped,[TV] vwap_reject_short (30m)
2026-05-04 15:15:01.631765,QQQ,SHORT,tv_vwap_reject_short,674.7000122070312,674.7000122070312,677.0999755859375,668.7999877929688,665.8499755859375,medium,skipped,[TV] vwap_reject_short (15m)
2026-05-04 15:00:26.471223,MSFT,SHORT,tv_ma_rejection_short_v3_ema8,417.4100036621094,417.4100036621094,421.5,417.29998779296875,410.44000244140625,medium,skipped,[TV] ma_rejection_short_v3 EMA8 (30m)
2026-05-04 15:00:23.025265,ETH-USD,BUY,tv_staged_pdh_break,2371.800048828125,2371.800048828125,2353.27001953125,2408.8701171875,2427.39990234375,medium,skipped,[TV] staged_pdh_break (15m)
2026-05-04 15:00:15.519320,AAPL,BUY,tv_vwap_reclaim_long,277.3500061035156,277.3500061035156,274.239990234375,287.2200012207031,292.1600036621094,medium,skipped,[TV] vwap_reclaim_long (30m)
2026-05-04 14:45:09.256591,META,BUY,tv_staged_pdl_reclaim,610,610,604.5399780273438,620.9199829101562,618.8800048828125,medium,skipped,[TV] staged_pdl_reclaim (15m)
2026-05-04 14:45:04.118076,ETH-USD,BUY,tv_vwap_reclaim_long,2353.1298828125,2353.1298828125,2336.75,2356.3798828125,2358.010009765625,medium,skipped,[TV] vwap_reclaim_long (15m)
2026-05-04 14:45:03.235870,ETH-USD,SHORT,tv_staged_pdh_rejection,2353.1298828125,2353.1298828125,2362.2900390625,2334.81005859375,2297.590087890625,medium,skipped,[TV] staged_pdh_rejection (15m)
2026-05-04 14:45:01.769293,NVDA,BUY,tv_ma_bounce_long_v3_ema21,197.92999267578125,197.92999267578125,196.92999267578125,203,205.5399932861328,medium,skipped,[TV] ma_bounce_long_v3 EMA21 (15m)
2026-05-04 14:45:01.087207,QQQ,BUY,tv_staged_pdh_break,676.3499755859375,676.3499755859375,675.6199951171875,677.8099975585938,678.5399780273438,medium,skipped,[TV] staged_pdh_break (15m)
2026-05-04 14:35:05.239307,SNDK,BUY,tv_staged_pdh_break,1231.260009765625,1231.260009765625,1179.8299560546875,1334.1099853515625,1385.5400390625,medium,skipped,[TV] staged_pdh_break (65)
2026-05-04 14:35:04.496781,OKLO,BUY,tv_ma_bounce_long_ema8_ema100,71.61000061035156,71.61000061035156,68.95999908447266,76.91000366210938,79.56999969482422,medium,skipped,[TV] ma_bounce_long EMA8+EMA100 (65)
2026-05-04 14:35:04.494136,OKLO,SHORT,tv_staged_pdh_rejection,71.61000061035156,71.61000061035156,72.69999694824219,69.44000244140625,68.47000122070312,medium,skipped,[TV] staged_pdh_rejection (65)
2026-05-04 14:35:01.531067,LITE,SHORT,tv_staged_pdh_rejection,953.0800170898438,953.0800170898438,1004.2899780273438,850.6500244140625,905.7000122070312,medium,skipped,[TV] staged_pdh_rejection (65)
2026-05-04 14:30:05.880823,TSLA,SHORT,tv_ma_rejection_short_v3_ema200,388.95001220703125,388.95001220703125,393.6000061035156,378.79998779296875,361.04998779296875,medium,skipped,[TV] ma_rejection_short_v3 EMA200 (15m)
2026-05-04 14:30:02.982292,AMD,SHORT,tv_staged_pdl_break,342.8999938964844,342.8999938964844,350.57000732421875,327.57000732421875,319.8999938964844,medium,skipped,[TV] staged_pdl_break (30m)
2026-05-04 14:30:02.533168,MSFT,BUY,tv_staged_pdh_break,419.8599853515625,419.8599853515625,416.1600036621094,427.260009765625,430.95001220703125,medium,skipped,[TV] staged_pdh_break (30m)
2026-05-04 14:15:05.962203,QQQ,SHORT,tv_staged_pdh_rejection,675.5499877929688,675.5499877929688,676.3900146484375,673.8699951171875,668.7999877929688,medium,skipped,[TV] staged_pdh_rejection (15m)
2026-05-04 14:15:02.622135,META,BUY,tv_vwap_reclaim_long,605.280029296875,605.280029296875,601.9199829101562,618.8800048828125,625.6799926757812,medium,skipped,[TV] vwap_reclaim_long (15m)
2026-05-04 14:00:12.473123,AMD,SHORT,tv_vwap_reject_short,352.20001220703125,352.20001220703125,362.8599853515625,349.25,347.7799987792969,medium,skipped,[TV] vwap_reject_short (30m)
2026-05-04 14:00:09.044143,AAPL,SHORT,tv_staged_pdl_break,275.42999267578125,275.42999267578125,278.95001220703125,268.3800048828125,264.8599853515625,medium,skipped,[TV] staged_pdl_break (30m)
2026-05-04 14:00:02.300426,MSFT,SHORT,tv_staged_pdh_rejection,415.8699951171875,415.8699951171875,421.1400146484375,405.3299865722656,410.44000244140625,medium,skipped,[TV] staged_pdh_rejection (30m)
2026-05-04 14:00:02.287390,SPY,BUY,tv_staged_pdl_reclaim,720.760009765625,720.760009765625,719.5499877929688,723.1699829101562,724.8699951171875,medium,skipped,[TV] staged_pdl_reclaim (15m)
